Size	   Bubble Sort	Selection Sort	Insertion Sort
50	52533.344	30759.51	19964.47
100	50249.805	12377.33	52302.227
150	109629.57	26560.016	28641.99
200	186218.31	48610.395	44979.734
250	284051.44	71405.445	67399.46
300	405457.8	98080.01	94643.0
350	517983.16	129230.56	122615.4
400	749193.1	185011.31	172699.23
450	904420.56	224776.28	215531.88
500	1081378.8	255521.94	251909.27
550	1261815.5	299741.3	293574.38
600	1607300.8	369299.75	367855.84
650	1798779.2	424019.6	417197.12
700	2078998.4	502095.84	482485.03
750	2269883.8	532505.7	538947.25
800	2627670.0	624272.56	612397.06
850	3010475.2	700507.7	695338.25
900	3243815.8	785933.8	772448.25
950	3708258.5	871077.94	875790.56
1000	4047251.2	958174.6	947433.1
